uen,registration_year,primary_ssic_code,postal_code
201728929K,2017,14,577206
201729011R,2017,74,367954
53394699M,2019,47,461043
201923207G,2019,47,082002
201914634H,2019,56,209011
201724377Z,2017,70,278639
201710950C,2017,28,169203
53372215B,2017,46,760749
201938419K,2019,63,088443
53365178J,2017,70,609964
201816237M,2018,46,189721
201925371W,2019,64,069534
53370519C,2017,49,541215
53393261X,2019,31,381122
201710446C,2017,46,048545
T19LL0992L,2019,41,730655
53393474E,2019,46,506893
201809472H,2018,35,486778
201830448D,2018,56,415875
201817235G,2018,41,787805
201836921M,2018,82,760288
201703207D,2017,70,465532
53356935D,2017,47,670477
201840601D,2018,43,199588
201709027W,2017,43,387429
201934879Z,2019,46,489947
53361222E,2017,47,544211
201817319Z,2018,96,428769
201811682W,2018,42,417938
201937094D,2019,46,367995
201701482G,2017,46,188655
201831050G,2018,56,569880
201840205H,2018,96,238714
201928434D,2019,46,425500
201914490M,2019,70,789095
201817216M,2018,58,278650
201834597R,2018,74,609964
53395096A,2019,46,307957
53366031M,2017,49,544314
201905997Z,2019,46,048624
201725544N,2017,52,518153
201927024R,2019,41,320122
53368522B,2017,70,560572
53389619C,2018,47,199588
53358624X,2017,49,760121
201714372G,2017,70,530616
T18LL0882K,2018,70,048545
53357056E,2017,96,640221
T17LL0912E,2017,46,560537
201730836D,2017,09,541338
201927527C,2019,49,509261
201926012E,2019,41,208511
201721596N,2017,28,539211
53397367L,2019,46,339156
53397205A,2019,73,059300
53405467J,2019,96,640221
201921382R,2019,46,408938
201935096M,2019,41,567761
201707296M,2017,42,627607
201934775C,2019,52,529945
201720467R,2017,62,188778
53359894W,2017,49,641670
201710620Z,2017,82,321108
201703836W,2017,74,763318
201903491H,2019,52,159554
53371013L,2017,56,828748
201919104Z,2019,72,609477
201726433M,2017,46,239924
T17LL0947L,2017,46,510774
201928252W,2019,46,460214
53356886B,2017,71,310061
53402741E,2019,30,627606
201725100C,2017,59,310111
53397681B,2019,56,761317
53374426A,2017,85,530242
53395574B,2019,46,521518
53357076W,2017,47,188061
201703743D,2017,74,768160
201917360H,2019,96,608526
201701674E,2017,43,088702
53392659M,2019,56,427396
201729763D,2017,85,738734
201822126G,2018,46,680506
53384029E,2018,81,573969
201813698H,2018,70,079118
53374069W,2017,85,684805
53374838X,2017,72,138632
201839931N,2018,82,608531
53355655D,2017,43,600323
201801743N,2018,96,238882
201938780E,2019,80,569139
53390534J,2018,47,573969
201911672H,2019,74,069534
201726456K,2017,74,787797
53398115L,2019,96,533971
201904080D,2019,85,179098
53375232M,2017,81,140146
53354857L,2017,47,543309
201808199K,2018,43,349488
201910046K,2019,46,059108
201734552G,2017,56,419718
201729969W,2017,46,048581
201926773N,2019,68,408564
53372527E,2017,49,750467
53402204M,2019,71,608526
201833632D,2018,38,319262
53363927A,2017,46,739211
201926579K,2019,46,739211
201708932K,2017,46,049319
201927591E,2019,70,368858
201731820C,2017,70,420002
201806506H,2018,43,179094
201914762Z,2019,70,159308
201718000W,2017,73,049712
201708960G,2017,74,048581
201938524D,2019,70,199591
201905523H,2019,71,409051
201909553M,2019,62,143062
201825632W,2018,72,049712
201825577H,2018,64,049712
T17LL1061G,2017,72,737917
201900190E,2019,25,761509
53366375W,2017,52,141087
201841412N,2018,71,287994
