uen,registration_year,primary_ssic_code,postal_code
201833633N,2018,64,549008
201900145R,2019,66,200808
53378570K,2018,49,460504
201923362D,2019,96,730647
T18LL0295B,2018,46,519962
53377039D,2018,47,822122
53405536B,2019,78,528691
53379112W,2018,28,381121
201736556D,2017,96,238858
201915922N,2019,96,534733
T17LL0312D,2017,74,573969
201928392D,2019,73,048581
201733380W,2017,46,729450
201941017N,2019,47,079024
201919572E,2019,74,049482
201833223D,2018,63,088443
201833964G,2018,78,737854
201912343N,2019,32,059413
201825190Z,2018,68,239328
201721221G,2017,46,168976
201910870Z,2019,70,048616
53403710X,2019,74,239426
201701056N,2017,70,608526
201804765K,2018,94,307591
201824905Z,2018,46,069534
201937156H,2019,62,534818
201908763W,2019,73,188979
201839159K,2018,47,329682
201904655G,2019,47,329682
201842596K,2018,47,569874
201725741K,2017,61,059413
201828802W,2018,58,049315
53380949E,2018,47,228208
201827493H,2018,77,018989
201932485W,2019,77,018989
201716027G,2017,78,417800
201917410Z,2019,46,768448
201800749D,2018,46,822210
53371769L,2017,74,730330
53401781M,2019,47,530951
201811956G,2018,47,368356
53390548J,2018,43,550240
201910040E,2019,70,258887
201915435G,2019,47,573969
201726814R,2017,63,550319
53402398C,2019,59,824617
201808983H,2018,46,319075
53371395A,2017,47,730751
53402724E,2019,96,640822
201942948K,2019,70,550303
201838624N,2018,71,659802
201922197K,2019,62,608526
53401465L,2019,49,670521
T18LL1678A,2018,59,459520
201829804R,2018,64,049321
201831379N,2018,64,179803
53397482L,2019,70,540196
201718769N,2017,71,079312
201921470R,2019,70,051531
201732560E,2017,70,179094
53386949L,2018,82,681484
201939397M,2019,82,659578
201932988D,2019,70,737854
201830695D,2018,46,347790
201726551K,2017,62,608526
201810330M,2018,81,680227
201915263N,2019,71,409051
53363079K,2017,46,160125
201731712R,2017,66,068906
T19LL1511B,2019,64,068906
201917726C,2019,90,051531
201934213K,2019,70,188595
201805113N,2018,64,307786
201708393K,2017,46,169074
201934075Z,2019,70,600021
201701970E,2017,52,069541
201837874K,2018,70,739663
201841982R,2018,64,208787
201842227H,2018,70,641218
201837144K,2018,78,162003
201940373N,2019,66,038986
201827782H,2018,62,239695
201824568K,2018,64,049907
201820320W,2018,58,049712
201907379C,2019,62,048619
201943519C,2019,46,609601
201823665R,2018,73,573969
201839739M,2018,62,369546
201800668D,2018,62,089057
201731446N,2017,62,089057
201813944E,2018,70,048692
201812815G,2018,70,048692
201914802W,2019,64,038987
201817281G,2018,66,049513
201800617H,2018,62,189720
201840192R,2018,46,048544
201825940M,2018,62,068737
201825623R,2018,62,068737
201702160M,2017,52,470768
201726867M,2017,62,079903
201842876H,2018,46,415875
201924761G,2019,70,543258
201932076W,2019,47,408731
201913037W,2019,70,408868
201918874N,2019,46,188307
201819752E,2018,62,409015
201719904H,2017,82,319261
T18LL2034J,2018,93,249720
201717025C,2017,18,319261
T17LL1675H,2017,90,249720
201718628W,2017,47,179094
201919195E,2019,47,048545
201802363W,2018,46,599140
201713215M,2017,70,069547
201733011R,2017,62,339510
201836738M,2018,70,754121
201937893H,2019,72,689672
201713621Z,2017,62,079903
201721372R,2017,70,308900
201825825G,2018,62,048581
201942685E,2019,46,339914
201714643D,2017,70,068914
201906363G,2019,70,168976
201732129N,2017,64,068896
201933303R,2019,64,050531
53400146K,2019,85,199588
201700252D,2017,62,658065
201909872K,2019,64,228208
53403009B,2019,70,757087
53402109C,2019,58,276340
201709103D,2017,46,757048
201719393E,2017,30,169206
201914752G,2019,46,608586
201705371N,2017,62,207499
53383535J,2018,94,569525
201726879G,2017,70,048580
201723005H,2017,47,169204
201927833N,2019,70,018960
201920626K,2019,17,408868
201906549R,2019,46,169208
201712422E,2017,31,757695
53400110J,2019,47,561590
201716881N,2017,43,567761
201920235N,2019,74,089310
53369577E,2017,70,794441
201921794H,2019,46,793469
201834862G,2018,73,439957
201806872W,2018,46,038989
201727518M,2017,46,048581
201828065K,2018,63,079903
201908783D,2019,62,179803
53379543E,2018,43,822212
53394269A,2019,46,541281
201815678R,2018,43,544336
201929105H,2019,74,648544
201816550E,2018,43,079903
201900761E,2019,47,368363
201908938D,2019,46,408933
201730621G,2017,43,419741
53364605K,2017,16,737853
T18LL1632E,2018,74,555859
201718009R,2017,71,408719
201920673C,2019,74,577219
53372241A,2017,47,730516
201821194W,2018,43,680006
201904354M,2019,41,608526
201708947W,2017,43,415978
201907467C,2019,43,510752
53383583J,2018,70,682817
201821372Z,2018,96,228796
201831461H,2018,72,189721
201707931D,2017,46,608526
201834417Z,2018,62,039190
53381616E,2018,47,560175
201928450E,2019,47,079903
201702711G,2017,49,059413
53386957M,2018,56,199588
53395843A,2019,56,049945
201807121W,2018,78,588179
53382312M,2018,74,627606
201900945M,2019,46,760211
53370801W,2017,42,410661
53402324W,2019,52,652439
53405837W,2019,28,188061
53403644M,2019,59,548086
53376710E,2018,46,532477
201713649M,2017,62,752469
53364382A,2017,49,463807
201735486K,2017,56,089121
201825575G,2018,46,349307
53363393A,2017,96,532992
53369382M,2017,74,734886
201924548H,2019,47,190463
201822396E,2018,66,438867
53388858A,2018,47,822667
201941502Z,2019,66,068914
201902250C,2019,64,069538
201918247C,2019,70,051531
201815354D,2018,46,457250
201838451K,2018,62,608526
201841352K,2018,62,199588
201915175N,2019,62,189352
201827112M,2018,62,573969
201802923N,2018,62,179094
53362249B,2017,73,309264
201923439R,2019,64,068898
201931270E,2019,64,179098
201922130W,2019,32,369977
201821865M,2018,66,248926
201709119C,2017,70,408538
201819645K,2018,62,049908
201939917W,2019,58,508650
201812095M,2018,62,409015
53385615M,2018,95,310183
201827627M,2018,46,048580
201825938G,2018,62,276162
201835971Z,2018,46,050336
201913881M,2019,63,179098
201820604Z,2018,62,051531
53402294D,2019,70,689675
201805808W,2018,62,049908
53385825M,2018,47,737854
53406649J,2019,62,637936
201815219M,2018,62,329929
201909352M,2019,62,469970
53385540C,2018,49,762317
201705230W,2017,70,768449
201941860W,2019,62,068914
201735298R,2017,70,470725
T17LL1286A,2017,70,139658
201842202H,2018,85,573969
201916891N,2019,74,079327
201829534K,2018,46,179098
53401207L,2019,82,658065
201801713R,2018,46,596196
201714144C,2017,47,533886
201733960Z,2017,50,308900
201910091Z,2019,62,018937
201932673M,2019,70,048616
201700108K,2017,62,050531
201811026W,2018,70,541228
201931646K,2019,63,059763
53402918C,2019,70,439204
53405697X,2019,56,556114
201922611R,2019,64,048621
201822957M,2018,46,048623
T19LL1353K,2019,56,680114
53404620K,2019,47,799456
201736211N,2017,63,555856
53385671W,2018,88,310199
201718971H,2017,71,049712
53401747M,2019,47,650169
201828573N,2018,52,757516
201806533N,2018,62,415875
201915357Z,2019,46,369977
201912590N,2019,15,658077
53397184E,2019,96,322116
53403777A,2019,85,161052
201815595N,2018,46,347719
201733795D,2017,71,757695
201806527E,2018,62,048619
201908130Z,2019,63,068914
201923259M,2019,62,051531
201937328C,2019,62,038987
201928261Z,2019,47,079903
201906137D,2019,47,469983
201933320H,2019,46,738078
201828674Z,2018,49,573971
53405158L,2019,47,670504
201935175K,2019,43,415979
201941129D,2019,42,737856
53372044C,2017,74,518685
201941979D,2019,85,682489
201714565R,2017,46,524606
T19LL0135H,2019,47,357844
201922603E,2019,70,734786
201705374G,2017,70,069538
201819289G,2018,62,368326
201907186M,2019,62,079903
201826155Z,2018,46,408564
53380651L,2018,47,521107
201900796W,2019,56,098402
201803434C,2018,46,208787
201809376W,2018,46,069533
201935061Z,2019,46,489979
201815657Z,2018,72,637144
201910927G,2019,47,510417
201921398N,2019,47,823128
53405873J,2019,96,228213
53384555J,2018,42,757700
201900017E,2019,25,757700
201705733D,2017,46,069113
201933861D,2019,46,409838
201943749H,2019,86,310178
201931814Z,2019,46,387560
201830314G,2018,64,048621
201817639H,2018,41,389282
53361477E,2017,70,530233
201917152H,2019,64,068912
201711319W,2017,70,069429
201915160G,2019,13,118222
201805365H,2018,74,238869
201733884N,2017,81,530922
201716330G,2017,56,560157
201817767Z,2018,70,419709
201935152M,2019,46,200635
201911733D,2019,64,805126
201832455R,2018,72,189721
201725822K,2017,47,318993
201943849D,2019,46,189720
201832245N,2018,82,238307
53385321D,2018,77,757827
T17LL0335B,2017,70,650211
201708884C,2017,41,808839
201819790N,2018,46,536209
201842312R,2018,46,228208
53405526E,2019,77,527842
53354526M,2017,49,751351
201909699D,2019,52,609388
53405804C,2019,47,269266
53364430E,2017,46,730716
201906702W,2019,46,486066
201936014E,2019,70,408830
53372931M,2017,46,088661
53361149X,2017,69,058357
53402192A,2019,96,556748
201802284Z,2018,47,369977
201832335R,2018,46,068621
201928138D,2019,62,238868
201733936G,2017,70,486154
53398386W,2019,46,680620
201919168Z,2019,72,018936
201922597H,2019,70,149544
201723147R,2017,46,737899
201838496R,2018,56,408564
201924386H,2019,52,409051
201913106D,2019,62,059817
201722719K,2017,10,238164
53384058M,2018,46,688211
201716516R,2017,43,408734
201829408C,2018,56,400302
201708438D,2017,64,068898
53378840D,2018,47,730573
53389247C,2018,56,347805
53392712M,2019,85,416601
T18LL1351B,2018,56,560475
53400625J,2019,56,117540
53354247B,2017,74,399849
201716775K,2017,46,228149
201718119D,2017,56,048466
201811526K,2018,56,018981
53364338D,2017,56,210041
201806775R,2018,46,757437
201842618E,2018,64,068914
53380747J,2018,56,079119
53402456D,2019,56,760747
53353864E,2017,10,448906
201902765C,2019,10,209687
201905118M,2019,56,408564
201721104Z,2017,56,737854
201832090N,2018,47,369972
201934575M,2019,46,085101
53385255B,2018,47,574418
201931545E,2019,46,534856
201904373G,2019,46,539182
201925415Z,2019,56,237994
201919977W,2019,64,486030
T18LL1423C,2018,56,440080
201712719M,2017,68,440080
201917885C,2019,96,228208
201941344D,2019,64,238880
201707944H,2017,64,320002
201903052K,2019,46,048623
53379697X,2018,64,238884
201708274C,2017,62,038985
201900159M,2019,72,188024
201922881N,2019,46,079903
201712395M,2017,56,574408
53389500J,2018,47,822105
201707007Z,2017,71,639514
201905680G,2019,46,608526
201804258W,2018,46,079903
201941950Z,2019,47,159552
201926485E,2019,46,555185
201809069N,2018,62,409015
53364867W,2017,35,560418
53362867M,2017,52,768441
201708394C,2017,49,416087
201809136W,2018,85,049712
201923554C,2019,52,307640
53374772D,2017,79,730580
201833362W,2018,49,680130
201916975G,2019,70,048423
201930142W,2019,56,069542
201933887N,2019,47,069542
201932924D,2019,64,069542
201921413M,2019,52,088443
201831348E,2018,52,618804
201835327N,2018,49,079333
53400752W,2019,49,737855
201834576Z,2018,56,569738
201813456G,2018,56,528833
201720760D,2017,56,068914
T17LL0593L,2017,47,730648
201818747K,2018,64,068914
201940826R,2019,64,049712
201701746D,2017,46,546704
201840834D,2018,64,190468
53406500K,2019,70,509504
201919456H,2019,64,068809
201814454C,2018,69,068809
201900140C,2019,43,569571
53373212C,2017,74,544250
201831344C,2018,71,507056
201916281N,2019,64,369585
201908053D,2019,62,368078
201722527M,2017,26,569621
201722534M,2017,64,569621
201710166D,2017,64,238891
201721310W,2017,62,409051
201721300E,2017,62,339159
53386261B,2018,70,410655
53404500J,2019,46,751589
201720731R,2017,52,659529
201819304E,2018,64,179803
201934002W,2019,46,608526
201804642W,2018,62,680353
T17LL2209F,2017,47,531699
201824584M,2018,46,189675
53359278W,2017,49,641216
201907904E,2019,64,758088
201916948C,2019,63,049908
201934025R,2019,77,488305
201907207R,2019,70,238859
201821635E,2018,52,048980
201903165K,2019,70,536209
201727625G,2017,46,049712
201906294C,2019,58,609431
201836314E,2018,68,427989
201734850H,2017,46,068906
201734287R,2017,64,048580
201704358H,2017,46,058358
201836706M,2018,46,218309
201812916M,2018,71,339943
201709369N,2017,66,069543
201822506Z,2018,64,048621
201732290Z,2017,46,058416
T17LL2099C,2017,70,408564
201943063G,2019,78,428769
201806624G,2018,52,079903
201819028K,2018,64,238884
201918807W,2019,70,440044
201731082D,2017,30,614138
201829350D,2018,46,189721
201838495E,2018,64,038988
201729839E,2017,64,486030
201712015G,2017,46,179098
201943071W,2019,64,068898
201731959M,2017,64,486030
201936779W,2019,50,068895
201910395G,2019,46,730820
53393937B,2019,70,549458
201810727N,2018,70,228149
201823455N,2018,46,169208
53403025D,2019,43,764348
201726761M,2017,46,764348
201906770E,2019,70,038987
201715793W,2017,72,179803
T19LL0117A,2019,52,573969
201805120N,2018,46,397999
201937881N,2019,46,320122
201723676R,2017,62,689049
53388593X,2018,26,550417
201913749N,2019,46,079903
201818643M,2018,47,127761
201936558M,2019,59,068914
201822889W,2018,23,737854
201824180K,2018,74,238340
201914558D,2019,46,627605
201812053Z,2018,51,150165
201943914E,2019,47,718892
201700388C,2017,70,080334
201901416H,2019,62,208787
53387956J,2018,10,510780
53398317K,2019,53,530352
201826084M,2018,74,409838
53382490K,2018,52,820138
201803186D,2018,70,048580
53397783E,2019,46,650324
201923784H,2019,64,308900
201836475G,2018,73,308900
201930485E,2019,70,238875
T18LL2023H,2018,85,530633
53364243D,2017,70,520495
201918612G,2019,72,068637
201724184K,2017,64,486030
201938764D,2019,70,408868
201728786E,2017,64,068914
201933362C,2019,62,189352
T18LL0697B,2018,32,521165
53357973B,2017,49,310213
53405230D,2019,43,520945
201915980H,2019,43,728653
201941533H,2019,62,608526
201918381C,2019,85,530159
201935558R,2019,46,188024
201833097G,2018,70,189721
201942307C,2019,46,239924
53395452E,2019,82,367956
53399359L,2019,77,271011
201808750H,2018,64,088498
201841518N,2018,62,048616
201939162K,2019,62,049319
T17LL0717C,2017,10,670104
201838465G,2018,70,179098
201729296C,2017,64,248373
201706185W,2017,46,079903
201709553E,2017,64,048543
201718581D,2017,96,238852
201821706M,2018,62,049213
53398444X,2019,82,807555
53393242D,2019,77,531007
201931249E,2019,47,534818
201728823K,2017,82,079903
201904786K,2019,47,079903
201913739C,2019,70,278443
201726534W,2017,77,658080
201834053H,2018,73,208031
201917966C,2019,50,398007
201737005M,2017,46,308900
201840835N,2018,47,420001
201835026Z,2018,46,189721
53395115A,2019,70,530308
53370926A,2017,49,604288
53388253B,2018,49,641561
53404567K,2019,93,188312
53372887L,2017,74,821604
201840735Z,2018,88,680274
201711931D,2017,62,049712
53372399W,2017,46,415978
201802754N,2018,62,051531
201918532W,2019,46,409839
53362841E,2017,86,460214
201834365G,2018,86,536199
201726943W,2017,86,408564
53392622W,2019,86,329565
201707141Z,2017,46,589488
201822897H,2018,47,598431
201803409W,2018,46,368000
201931283K,2019,46,436918
201924719K,2019,46,238875
201830682W,2018,64,068912
201709799K,2017,64,079903
201830733Z,2018,64,068912
201720666N,2017,64,117867
201711445G,2017,46,415937
53385577B,2018,47,198898
T17LL2024K,2017,70,467398
201818610C,2018,46,738733
201728605W,2017,70,329089
53370140J,2017,47,168898
201729970M,2017,46,079903
201720032E,2017,46,308899
201735868E,2017,46,542272
201700037D,2017,85,199001
53370864L,2017,56,650206
201842783N,2018,46,307487
53398686M,2019,47,427531
53393534B,2019,74,820132
201729313C,2017,56,049824
T19LL1215B,2019,70,530918
201713641E,2017,46,069113
201837163E,2018,52,619160
201840148W,2018,71,627606
201920463Z,2019,46,049422
53363478D,2017,18,430022
201842638K,2018,82,460011
201820000H,2018,82,417842
201913597G,2019,70,049908
201708311G,2017,46,416120
53390918W,2018,49,530527
53379604X,2018,96,588179
53357110C,2017,47,460520
201938593C,2019,46,520321
201828246E,2018,70,188778
201933692D,2019,64,068807
201819822C,2018,46,339172
201735471D,2017,64,079024
53373860A,2017,85,640452
201833538N,2018,74,408726
201820788Z,2018,73,188024
201803896W,2018,46,079903
201818777H,2018,96,179433
201923786K,2019,46,429115
201709895C,2017,96,307591
201707254Z,2017,20,159555
201800147N,2018,64,416171
53406341A,2019,96,561710
201703324K,2017,46,051531
201930372E,2019,46,079903
201842213M,2018,46,369977
201829060M,2018,72,536983
201807894C,2018,20,569058
201726480D,2017,86,258499
201901030K,2019,96,219802
201810544W,2018,46,079903
201827509N,2018,86,248649
201827508D,2018,96,308322
201828069N,2018,49,679668
201710895M,2017,46,608526
201929867H,2019,70,189720
53354599D,2017,59,591301
201921442Z,2019,77,528836
53374973E,2017,49,528836
201806210M,2018,85,080019
201717702E,2017,41,368186
201831125W,2018,70,737854
53362812A,2017,47,310023
T18LL1238F,2018,41,038987
201810110W,2018,47,534119
201917019Z,2019,68,069113
53372902E,2017,46,470712
201727760W,2017,42,534749
201901310H,2019,46,608526
201839005H,2018,46,199007
201913029G,2019,85,546195
201713697N,2017,46,628965
53378246E,2018,47,530660
201826805W,2018,70,048581
53406251B,2019,74,530424
201811084M,2018,64,139951
201734274K,2017,70,068896
201714830G,2017,62,823308
201842834R,2018,70,068906
201819820Z,2018,46,640556
201929476M,2019,46,608526
201825818G,2018,46,048580
53371866W,2017,47,642216
53398129L,2019,85,828746
201827657K,2018,70,068914
53365571D,2017,56,522497
201709545N,2017,47,529773
53385996D,2018,74,573969
201711389G,2017,74,310245
201727845C,2017,74,079903
53366936K,2017,43,730215
201832345H,2018,71,415875
53376531E,2018,71,218814
201714054Z,2017,62,608526
201702978H,2017,41,191465
53386952L,2018,74,238250
53393120K,2019,16,757047
53386241L,2018,71,159088
201701933G,2017,70,089109
201915901W,2019,74,329898
201843299R,2018,74,408701
53379559A,2018,74,600055
201812151M,2018,64,368357
201730697C,2017,43,787805
201803431H,2018,41,409015
201911413N,2019,73,408734
201920965N,2019,74,737854
201705632W,2017,74,229628
201816197N,2018,62,089262
201800163R,2018,74,520102
201832973M,2018,74,088385
201907061W,2019,74,427782
201816772C,2018,74,427782
201809393K,2018,74,761511
201837219C,2018,71,050531
53387294D,2018,74,670118
201921206D,2019,27,208511
201707610D,2017,74,388386
53367794K,2017,71,150165
53404010A,2019,74,439866
53384869E,2018,62,573969
201836768K,2018,74,419741
201839955D,2018,46,048616
53365329X,2017,71,573969
201937838G,2019,43,427531
201912766K,2019,43,760643
201911862E,2019,74,510206
201839710H,2018,41,188216
53390473X,2018,73,550108
53369424L,2017,74,757047
201705529G,2017,43,757047
201709403G,2017,74,099307
201933500M,2019,70,408868
53398233B,2019,96,310026
201917889E,2019,74,338730
201700620C,2017,74,416601
201841913W,2018,47,409015
53386150X,2018,74,330030
201935590Z,2019,74,573969
53404176X,2019,74,427465
53406166D,2019,46,521879
53395468A,2019,47,486030
53398499L,2019,74,732185
201801369G,2018,62,179098
53383326D,2018,74,180261
201735615Z,2017,43,729932
201810947H,2018,74,369551
53368007K,2017,96,059413
201939100M,2019,46,059413
201831074R,2018,43,169208
T17LL1117D,2017,70,538683
201930083E,2019,63,179094
201732522R,2017,85,737853
201906589G,2019,85,188024
201807039D,2018,70,408734
201719651R,2017,74,079903
T18LL0037D,2018,18,730370
53389502B,2018,71,079903
201940677C,2019,82,048619
201900897D,2019,74,188969
201813680H,2018,70,248732
201901282E,2019,85,208539
201903088N,2019,46,409051
201904886E,2019,46,059567
T19LL0386L,2019,74,730630
201701803N,2017,64,189720
201809424G,2018,46,079333
T19LL0367H,2019,74,120414
201714012G,2017,46,460054
201835725K,2018,46,188216
53371942M,2017,47,138643
201719310K,2017,74,049145
53394474X,2019,43,757853
201905837H,2019,47,228213
53394959M,2019,93,058357
201810840W,2018,74,734788
53365962X,2017,46,670626
201805713C,2018,71,460209
201837551H,2018,64,068911
201913744Z,2019,62,079314
201840496D,2018,46,409051
201932835M,2019,47,540194
53357631L,2017,49,530510
53366313W,2017,49,823673
53360484B,2017,49,640944
53382911M,2018,65,568427
53397673A,2019,62,327994
53370758K,2017,85,760617
201707359H,2017,47,189652
201729009K,2017,46,600131
53392014X,2019,56,528523
53382996L,2018,56,081007
53376345B,2018,82,673546
53400235L,2019,73,368086
53382480W,2018,56,523608
201703486D,2017,46,486350
53383001W,2018,56,670150
201914330C,2019,10,738322
53375757J,2018,56,439877
53361701D,2017,56,198691
201842207D,2018,64,809101
53365149B,2017,28,119843
201909100W,2019,55,088443
201819297W,2018,78,069541
201915667R,2019,64,188778
201714656H,2017,64,599522
201917665G,2019,85,787084
201731744R,2017,46,659526
201726483R,2017,79,048580
201907021G,2019,62,049422
201723396W,2017,70,049712
53366193E,2017,63,763504
201834941E,2018,49,536209
201831062C,2018,96,238868
201820898G,2018,47,408720
53361209L,2017,49,123311
201900234G,2019,70,469977
201730182C,2017,82,189652
53361283K,2017,46,520240
201908006M,2019,46,120358
53401060A,2019,52,730123
201905647M,2019,52,049422
201925794N,2019,96,642657
201733595N,2017,22,737856
201831042R,2018,41,408731
201805579N,2018,70,069534
201923493G,2019,64,608526
201934866N,2019,18,539219
53360645D,2017,95,521226
201837768G,2018,95,408934
201720448C,2017,95,569880
201919255H,2019,64,051531
201840226E,2018,47,169876
201923774R,2019,52,051531
201910968H,2019,46,179098
201801481Z,2018,56,298921
201717575W,2017,68,298921
201914661N,2019,68,757437
201800359W,2018,56,298921
201824085K,2018,56,298921
201800364R,2018,56,298921
201800365G,2018,56,298921
201810936E,2018,68,298921
201914352H,2019,68,461059
201835396M,2018,68,310073
201933137H,2019,79,089136
53384124X,2018,46,059817
53404982J,2019,86,640498
201832128G,2018,86,569734
201712593Z,2017,86,389216
53401471B,2019,47,128807
201926127G,2019,66,789198
201805847W,2018,52,639311
201933022G,2019,64,238854
201842787W,2018,46,079903
53394284E,2019,70,544206
201915738D,2019,43,059676
201816286E,2018,64,188307
201822083R,2018,80,018982
201940791R,2019,62,486006
201806455G,2018,46,609966
201717279W,2017,68,267955
53366339C,2017,85,436932
T18LL1530L,2018,82,640627
201806960W,2018,62,521157
201832216G,2018,62,079903
53396175X,2019,46,728653
201808644E,2018,62,188735
53355535C,2017,90,732787
53381090J,2018,56,530316
201930599R,2019,32,339159
201726772R,2017,41,542296
201701140K,2017,46,460180
201910223C,2019,41,417942
201923764D,2019,56,640208
201729619K,2017,46,069538
201900826D,2019,70,068914
201836384N,2018,43,389517
201922744C,2019,85,200634
201729772E,2017,68,758108
201836776C,2018,85,188332
201908252C,2019,61,049712
201811500Z,2018,46,179094
201842814K,2018,70,169075
53376506D,2018,96,567760
53404040C,2019,46,339510
201939473W,2019,47,219813
201903764G,2019,56,550409
201824150M,2018,70,248373
201914153K,2019,46,068807
201842748W,2018,62,189648
201916122N,2019,56,609966
53399871M,2019,62,569639
201911388D,2019,66,679051
201814593R,2018,70,179803
201816330K,2018,70,159308
201921400G,2019,62,049422
201702474M,2017,62,179803
201931307G,2019,74,079904
201737154Z,2017,49,730726
201914243M,2019,64,069534
201910606G,2019,64,520150
201917280Z,2019,70,520150
53360734E,2017,49,520150
201841074N,2018,70,068737
53373110X,2017,88,239900
201809035M,2018,50,089595
201732454C,2017,62,534963
201918429G,2019,62,530929
201821102C,2018,70,048423
53364951W,2017,46,542280
201938575W,2019,62,079903
201706562W,2017,70,408868
201731049H,2017,46,608526
201803651D,2018,62,051531
53401984J,2019,56,400334
201702084G,2017,62,048581
53368153K,2017,47,268894
201824098R,2018,70,068892
53370047K,2017,47,670209
53381002K,2018,43,650118
201819461D,2018,78,804964
53387106M,2018,47,415978
T18LL0028F,2018,43,457444
53374899B,2017,77,510461
201916660R,2019,46,228149
201901022Z,2019,62,059818
201828746W,2018,62,199588
53404303L,2019,47,682476
201920360M,2019,70,409015
201842610W,2018,62,048545
201913354N,2019,64,069533
201735094D,2017,52,048580
201820238D,2018,46,059817
201710690H,2017,20,627615
201714023K,2017,43,541206
201706526K,2017,50,387513
53399516K,2019,47,120326
53390247M,2018,74,792435
201933744R,2019,63,117439
53387115L,2018,95,449291
201920931M,2019,70,555856
201931374D,2019,70,018936
201821390D,2018,62,048581
201940450K,2019,46,051531
201711778C,2017,74,768441
201722992E,2017,70,751107
201902505R,2019,64,398576
201815779C,2018,46,409051
201721777H,2017,86,419728
201820481Z,2018,64,048581
201828396D,2018,62,409051
201837267D,2018,41,627605
201813945R,2018,46,179803
T19LL0817D,2019,70,760657
201801786W,2018,70,409051
201804428H,2018,53,168646
201836828N,2018,70,058818
201927921N,2019,72,050336
201726399Z,2017,62,139955
201943658R,2019,46,068914
201901706Z,2019,70,608531
201710301C,2017,27,729931
201722879C,2017,82,339407
53388273K,2018,46,822261
201828684M,2018,46,038987
T17LL1243D,2017,74,179098
53406707K,2019,74,573969
53372560K,2017,74,658065
201718583E,2017,74,760722
53403292C,2019,74,460528
53390432C,2018,71,179098
201931476Z,2019,74,609601
201941028W,2019,85,128808
201703691K,2017,85,608532
53390818C,2018,43,328813
201909629N,2019,70,049909
201915930E,2019,43,728653
201704685W,2017,85,521866
201936000H,2019,56,310099
201830267H,2018,46,608526
53376667B,2018,77,760212
201933159R,2019,49,530939
201934098W,2019,46,658881
201924569E,2019,56,757437
201700250C,2017,46,408897
201720042W,2017,46,190463
201933036D,2019,85,670235
201822422G,2018,47,819659
201922540H,2019,47,389838
201834308D,2018,52,569880
53397513A,2019,46,733780
201941334K,2019,64,188979
201931610G,2019,56,048472
201717659K,2017,46,289207
201941291Z,2019,62,118817
201832781N,2018,69,069542
201801219H,2018,70,069542
201930370D,2019,43,528559
201832786H,2018,69,069542
201702283E,2017,46,428769
201900979N,2019,58,399849
53391268K,2018,74,542287
201920413R,2019,71,608526
201810969R,2018,74,429247
201718482Z,2017,81,650383
53360414A,2017,70,049712
201724130D,2017,71,159471
201912696N,2019,64,179803
201825099D,2018,70,408868
201731576G,2017,62,189352
201935726E,2019,80,188307
201935849W,2019,46,188307
201839504K,2018,22,596196
201934592E,2019,64,750489
53373040J,2017,63,730837
53405859X,2019,62,640604
201808755D,2018,70,188979
53373794W,2017,59,570142
201926635K,2019,47,069534
201807225R,2018,70,179101
201828783R,2018,46,179803
T19LL0233G,2019,52,347807
201736521K,2017,70,560254
201842005M,2018,62,048581
201805341Z,2018,62,768160
201701938C,2017,69,409051
201834325R,2018,78,408564
53387873W,2018,47,737854
201920731D,2019,62,822265
53375065B,2017,47,550550
201908637H,2019,64,762428
201937923N,2019,46,737856
201827718E,2018,62,277622
201913298N,2019,46,160059
201914307Z,2019,70,369977
53402932M,2019,74,328170
201936050M,2019,90,577200
201903060C,2019,62,068809
201736419K,2017,62,059818
201931040W,2019,62,518157
201922552D,2019,73,239924
201912387H,2019,46,208511
T18LL2088G,2018,70,750421
201840780H,2018,41,659578
201804336E,2018,64,068902
201700328E,2017,46,409051
201716745M,2017,46,169876
201720376D,2017,64,228149
201829409M,2018,64,409051
53404677X,2019,52,761461
53393648M,2019,47,761461
201837087Z,2018,46,079903
201906902G,2019,70,536199
201708220N,2017,46,598741
201917383G,2019,46,507009
53388823M,2018,56,588177
201839124W,2018,47,218080
201723964E,2017,46,608526
201921411K,2019,47,218307
53402864X,2019,47,637741
201942318E,2019,96,209411
201809917Z,2018,41,779084
53397827X,2019,46,469598
201825883C,2018,46,179803
201816595K,2018,46,089066
201928082G,2019,64,079909
53382909K,2018,49,530529
201711156G,2017,10,757437
201700573D,2017,64,637585
201914162M,2019,70,048616
201831754M,2018,70,038987
201827668N,2018,46,320002
201907722Z,2019,47,648770
201720821W,2017,28,048581
201806321K,2018,85,049317
53359411A,2017,74,649883
201817295D,2018,85,299123
201720773H,2017,69,069534
201917794H,2019,56,199589
201820063W,2018,43,408726
201700900Z,2017,41,408726
201700185Z,2017,46,768091
201719749E,2017,66,308107
201800625Z,2018,70,179094
53374741D,2017,74,537643
201803369Z,2018,46,038987
201805646W,2018,47,737854
201918482G,2019,70,049422
201815164G,2018,82,805729
201937182D,2019,58,389730
201711450E,2017,46,079903
201828341E,2018,70,048616
201925758G,2019,55,050336
201925776K,2019,64,050336
201834617H,2018,64,050336
201913120D,2019,46,787472
53377615E,2018,62,370033
201843175M,2018,46,210662
53379430K,2018,47,650147
201805820R,2018,70,573914
53368859X,2017,77,730037
53366753D,2017,49,542191
201722272W,2017,46,069113
201919046W,2019,64,674633
53377159E,2018,28,534798
201920981R,2019,56,544188
